Year,ST,STATE,OCC_CODE,OCC_TITLE,TOT_EMP,LOC_Q,H_MEAN,A_MEAN
2018,CT,Connecticut,15-1121,Computer Systems Analysts,"6,860",1.02,45.45,"94,530"
2018,CT,Connecticut,15-1122,Information Security Analysts,980,0.79,54.28,"112,900"
2018,CT,Connecticut,15-1131,Computer Programmers,"4,110",1.56,44.89,"93,370"
2018,CT,Connecticut,15-1132,"Software Developers, Applications","11,540",1.11,50.72,"105,500"
2018,CT,Connecticut,15-1133,"Software Developers, Systems Software","3,560",0.77,49.25,"102,440"
2018,CT,Connecticut,15-1134,Web Developers,"1,210",0.83,37.60,"78,200"
2018,CT,Connecticut,15-1141,Database Administrators,"1,300",1.03,48.35,"100,570"
2018,CT,Connecticut,15-1142,Network and Computer Systems Administrators,"2,890",0.69,44.82,"93,230"
2018,CT,Connecticut,15-1143,Computer Network Architects,"1,350",0.77,58.75,"122,200"
2018,CT,Connecticut,15-1151,Computer User Support Specialists,"9,150",1.26,28.84,"59,990"
2018,CT,Connecticut,15-1152,Computer Network Support Specialists,970,0.46,38.40,"79,880"
2018,CT,Connecticut,15-1199,"Computer Occupations, All Other","1,700",0.39,48.24,"100,340"
2018,DE,Delaware,15-0000,Computer and Mathematical Occupations,"17,120",1.26,44.98,"93,550"
2018,DE,Delaware,15-1121,Computer Systems Analysts,"2,530",1.39,46.38,"96,460"
2018,DE,Delaware,15-1122,Information Security Analysts,580,1.74,51.34,"106,780"
2018,DE,Delaware,15-1131,Computer Programmers,"1,110",1.55,38.59,"80,260"
2018,DE,Delaware,15-1132,"Software Developers, Applications","4,790",1.71,51.31,"106,730"
2018,DE,Delaware,15-1134,Web Developers,370,0.94,34.65,"72,070"
2018,DE,Delaware,15-1141,Database Administrators,850,2.50,44.45,"92,460"
2018,DE,Delaware,15-1142,Network and Computer Systems Administrators,"1,370",1.21,38.94,"80,990"
2018,DE,Delaware,15-1143,Computer Network Architects,630,1.33,61.05,"126,990"
2018,DE,Delaware,15-1151,Computer User Support Specialists,"1,830",0.93,28.26,"58,780"
2018,DE,Delaware,15-1152,Computer Network Support Specialists,440,0.79,29.25,"60,840"
2018,DC,District of Columbia,15-0000,Computer and Mathematical Occupations,"42,120",1.95,52.21,"108,600"
2018,DC,District of Columbia,15-1111,Computer and Information Research Scientists,480,3.23,61.49,"127,900"
2018,DC,District of Columbia,15-1121,Computer Systems Analysts,"3,630",1.26,51.34,"106,790"
2018,DC,District of Columbia,15-1122,Information Security Analysts,"1,660",3.13,56.77,"118,080"
2018,DC,District of Columbia,15-1131,Computer Programmers,"1,090",0.96,50.58,"105,200"
2018,DC,District of Columbia,15-1132,"Software Developers, Applications","2,520",0.57,54.09,"112,510"
2018,DC,District of Columbia,15-1133,"Software Developers, Systems Software","2,690",1.35,55.58,"115,610"
2018,DC,District of Columbia,15-1134,Web Developers,"1,220",1.94,41.98,"87,320"
2018,DC,District of Columbia,15-1141,Database Administrators,850,1.57,46.01,"95,710"
2018,DC,District of Columbia,15-1142,Network and Computer Systems Administrators,"1,960",1.09,48.04,"99,920"
2018,DC,District of Columbia,15-1143,Computer Network Architects,"1,010",1.35,59.23,"123,200"
2018,DC,District of Columbia,15-1151,Computer User Support Specialists,"4,110",1.32,34.14,"71,020"
2018,DC,District of Columbia,15-1152,Computer Network Support Specialists,460,0.52,42.64,"88,700"
2018,DC,District of Columbia,15-1199,"Computer Occupations, All Other","18,040",9.61,56.51,"117,540"
2018,FL,Florida,15-0000,Computer and Mathematical Occupations,"206,930",0.79,37.87,"78,780"
2018,FL,Florida,15-1111,Computer and Information Research Scientists,540,0.30,48.62,"101,120"
2018,FL,Florida,15-1121,Computer Systems Analysts,"24,970",0.71,40.89,"85,050"
2018,FL,Florida,15-1122,Information Security Analysts,"5,600",0.87,44.21,"91,950"
2018,FL,Florida,15-1131,Computer Programmers,"10,390",0.76,37.93,"78,890"
2018,FL,Florida,15-1132,"Software Developers, Applications","38,160",0.71,45.97,"95,610"
2018,FL,Florida,15-1133,"Software Developers, Systems Software","17,270",0.72,49.32,"102,590"
2018,FL,Florida,15-1134,Web Developers,"7,190",0.95,30.85,"64,160"
2018,FL,Florida,15-1141,Database Administrators,"6,980",1.07,41.76,"86,870"
2018,FL,Florida,15-1142,Network and Computer Systems Administrators,"18,780",0.86,38.02,"79,070"
2018,FL,Florida,15-1143,Computer Network Architects,"10,280",1.13,43.84,"91,180"
2018,FL,Florida,15-1151,Computer User Support Specialists,"41,560",1.11,23.68,"49,260"
2018,FL,Florida,15-1152,Computer Network Support Specialists,"8,580",0.80,29.34,"61,040"
2018,FL,Florida,15-1199,"Computer Occupations, All Other","11,060",0.49,37.94,"78,900"
2018,GA,Georgia,15-0000,Computer and Mathematical Occupations,"148,690",1.12,42.59,"88,590"
2018,GA,Georgia,15-1111,Computer and Information Research Scientists,690,0.75,48.14,"100,140"
2018,GA,Georgia,15-1121,Computer Systems Analysts,"19,160",1.07,43.78,"91,060"
2018,GA,Georgia,15-1122,Information Security Analysts,"2,910",0.89,45.43,"94,490"
2018,GA,Georgia,15-1131,Computer Programmers,"5,460",0.78,44.42,"92,390"
2018,GA,Georgia,15-1132,"Software Developers, Applications","30,440",1.11,50.60,"105,240"
2018,GA,Georgia,15-1133,"Software Developers, Systems Software","12,910",1.05,50.53,"105,100"
2018,GA,Georgia,15-1134,Web Developers,"2,510",0.65,38.50,"80,090"
2018,GA,Georgia,15-1141,Database Administrators,"4,280",1.28,44.28,"92,090"
2018,GA,Georgia,15-1142,Network and Computer Systems Administrators,"10,040",0.90,41.78,"86,910"
2018,GA,Georgia,15-1143,Computer Network Architects,"5,390",1.16,54.92,"114,240"
2018,GA,Georgia,15-1151,Computer User Support Specialists,"22,090",1.15,25.52,"53,090"
2018,GA,Georgia,15-1152,Computer Network Support Specialists,"6,620",1.20,34.05,"70,820"
2018,GA,Georgia,15-1199,"Computer Occupations, All Other","21,500",1.86,43.34,"90,140"
2018,HI,Hawaii,15-0000,Computer and Mathematical Occupations,"10,030",0.52,38.74,"80,570"
2018,HI,Hawaii,15-1111,Computer and Information Research Scientists,150,1.11,51.69,"107,520"
2018,HI,Hawaii,15-1121,Computer Systems Analysts,"1,500",0.58,38.51,"80,100"
2018,HI,Hawaii,15-1122,Information Security Analysts,230,0.47,44.00,"91,520"
2018,HI,Hawaii,15-1131,Computer Programmers,530,0.52,34.80,"72,370"
2018,HI,Hawaii,15-1132,"Software Developers, Applications",720,0.18,40.55,"84,340"
2018,HI,Hawaii,15-1133,"Software Developers, Systems Software","1,030",0.57,46.88,"97,510"
2018,HI,Hawaii,15-1134,Web Developers,290,0.52,30.15,"62,710"
2018,HI,Hawaii,15-1141,Database Administrators,390,0.81,43.45,"90,380"
2018,HI,Hawaii,15-1142,Network and Computer Systems Administrators,"1,170",0.72,41.60,"86,530"
2018,HI,Hawaii,15-1143,Computer Network Architects,400,0.58,47.54,"98,880"
2018,HI,Hawaii,15-1151,Computer User Support Specialists,"1,150",0.41,23.07,"47,990"
2018,HI,Hawaii,15-1152,Computer Network Support Specialists,690,0.86,29.45,"61,260"
2018,HI,Hawaii,15-1199,"Computer Occupations, All Other","1,490",0.88,43.25,"89,960"
2018,ID,Idaho,15-0000,Computer and Mathematical Occupations,"14,610",0.68,34.57,"71,910"
2018,ID,Idaho,15-1111,Computer and Information Research Scientists,150,1.05,65.95,"137,180"
2018,ID,Idaho,15-1121,Computer Systems Analysts,"1,500",0.52,37.76,"78,550"
2018,ID,Idaho,15-1122,Information Security Analysts,390,0.74,41.63,"86,590"
2018,ID,Idaho,15-1131,Computer Programmers,610,0.54,36.78,"76,500"
2018,ID,Idaho,15-1132,"Software Developers, Applications","2,800",0.64,41.67,"86,680"
2018,ID,Idaho,15-1133,"Software Developers, Systems Software",910,0.46,46.78,"97,310"
2018,ID,Idaho,15-1134,Web Developers,630,1.01,26.31,"54,720"
2018,ID,Idaho,15-1141,Database Administrators,490,0.92,33.31,"69,280"
2018,ID,Idaho,15-1142,Network and Computer Systems Administrators,"1,410",0.79,32.18,"66,930"
2018,ID,Idaho,15-1143,Computer Network Architects,610,0.81,*,*
2018,ID,Idaho,15-1151,Computer User Support Specialists,"3,230",1.05,23.55,"48,990"
2018,ID,Idaho,15-1152,Computer Network Support Specialists,470,0.53,24.05,"50,020"
2018,ID,Idaho,15-1199,"Computer Occupations, All Other",790,0.42,38.75,"80,610"
2018,IL,Illinois,15-0000,Computer and Mathematical Occupations,"177,530",0.98,42.17,"87,720"
2018,IL,Illinois,15-1111,Computer and Information Research Scientists,500,0.40,54.50,"113,350"
2018,IL,Illinois,15-1121,Computer Systems Analysts,"28,130",1.16,42.97,"89,370"
2018,IL,Illinois,15-1122,Information Security Analysts,"3,780",0.85,47.42,"98,640"
2018,IL,Illinois,15-1131,Computer Programmers,"11,350",1.19,44.16,"91,860"
2018,IL,Illinois,15-1132,"Software Developers, Applications","30,500",0.82,46.45,"96,610"
2018,IL,Illinois,15-1133,"Software Developers, Systems Software","17,130",1.02,52.20,"108,570"
2018,IL,Illinois,15-1134,Web Developers,"5,180",0.98,35.78,"74,420"
2018,IL,Illinois,15-1141,Database Administrators,"3,570",0.78,46.26,"96,230"
2018,IL,Illinois,15-1142,Network and Computer Systems Administrators,"11,640",0.77,41.49,"86,290"
2018,IL,Illinois,15-1143,Computer Network Architects,"5,310",0.84,55.18,"114,780"
2018,IL,Illinois,15-1151,Computer User Support Specialists,"24,920",0.95,25.49,"53,020"
2018,IL,Illinois,15-1152,Computer Network Support Specialists,"9,940",1.32,31.65,"65,830"
2018,IL,Illinois,15-1199,"Computer Occupations, All Other","16,590",1.05,*,*
2018,IN,Indiana,15-0000,Computer and Mathematical Occupations,"59,060",0.64,36.11,"75,100"
2018,IN,Indiana,15-1111,Computer and Information Research Scientists,250,0.39,51.52,"107,150"
2018,IN,Indiana,15-1121,Computer Systems Analysts,"9,760",0.79,38.34,"79,750"
2018,IN,Indiana,15-1122,Information Security Analysts,"1,040",0.46,38.50,"80,080"
2018,IN,Indiana,15-1131,Computer Programmers,"5,010",1.03,38.87,"80,850"
2018,IN,Indiana,15-1132,"Software Developers, Applications","9,770",0.51,42.58,"88,570"
2018,IN,Indiana,15-1133,"Software Developers, Systems Software","3,610",0.42,43.68,"90,850"
2018,IN,Indiana,15-1134,Web Developers,"1,690",0.63,28.79,"59,870"
2018,IN,Indiana,15-1141,Database Administrators,"1,570",0.68,35.74,"74,340"
2018,IN,Indiana,15-1142,Network and Computer Systems Administrators,"6,710",0.87,36.30,"75,500"
2018,IN,Indiana,15-1143,Computer Network Architects,"3,620",1.13,42.41,"88,210"
2018,IN,Indiana,15-1151,Computer User Support Specialists,"10,270",0.77,22.59,"46,990"
2018,IN,Indiana,15-1152,Computer Network Support Specialists,"1,330",0.35,29.21,"60,770"
2018,IN,Indiana,15-1199,"Computer Occupations, All Other","2,610",0.33,38.13,"79,310"
2018,IA,Iowa,15-0000,Computer and Mathematical Occupations,"36,530",0.78,37.84,"78,720"
2018,IA,Iowa,15-1121,Computer Systems Analysts,"7,330",1.17,40.53,"84,300"
2018,IA,Iowa,15-1122,Information Security Analysts,660,0.57,39.92,"83,030"
2018,IA,Iowa,15-1131,Computer Programmers,"1,520",0.62,37.95,"78,940"
2018,IA,Iowa,15-1132,"Software Developers, Applications","6,990",0.73,42.58,"88,570"
2018,IA,Iowa,15-1133,"Software Developers, Systems Software","2,650",0.61,44.19,"91,920"
2018,IA,Iowa,15-1134,Web Developers,"1,100",0.81,28.05,"58,340"
2018,IA,Iowa,15-1141,Database Administrators,630,0.54,43.53,"90,540"
2018,IA,Iowa,15-1142,Network and Computer Systems Administrators,"3,480",0.89,36.03,"74,940"
2018,IA,Iowa,15-1143,Computer Network Architects,"1,240",0.76,57.50,"119,590"
2018,IA,Iowa,15-1151,Computer User Support Specialists,"4,460",0.66,23.61,"49,100"
2018,IA,Iowa,15-1152,Computer Network Support Specialists,"2,420",1.25,26.78,"55,690"
2018,IA,Iowa,15-1199,"Computer Occupations, All Other","2,350",0.58,37.89,"78,810"
2018,KS,Kansas,15-0000,Computer and Mathematical Occupations,"34,560",0.83,35.21,"73,230"
2018,KS,Kansas,15-1111,Computer and Information Research Scientists,100,0.34,45.34,"94,300"
2018,KS,Kansas,15-1121,Computer Systems Analysts,"4,810",0.86,37.75,"78,520"
2018,KS,Kansas,15-1122,Information Security Analysts,760,0.74,41.42,"86,160"
2018,KS,Kansas,15-1131,Computer Programmers,"1,530",0.70,36.44,"75,780"
2018,KS,Kansas,15-1132,"Software Developers, Applications","5,570",0.65,41.05,"85,380"
2018,KS,Kansas,15-1133,"Software Developers, Systems Software","1,870",0.49,45.31,"94,240"
2018,KS,Kansas,15-1134,Web Developers,860,0.71,30.22,"62,850"
2018,KS,Kansas,15-1141,Database Administrators,730,0.70,39.63,"82,430"
2018,KS,Kansas,15-1142,Network and Computer Systems Administrators,"5,820",1.67,36.51,"75,940"
2018,KS,Kansas,15-1143,Computer Network Architects,"1,600",1.11,45.03,"93,670"
2018,KS,Kansas,15-1151,Computer User Support Specialists,"7,420",1.24,21.81,"45,360"
2018,KS,Kansas,15-1152,Computer Network Support Specialists,910,0.53,24.37,"50,690"
2018,KS,Kansas,15-1199,"Computer Occupations, All Other","1,340",0.37,38.12,"79,300"
2018,KY,Kentucky,15-0000,Computer and Mathematical Occupations,"32,450",0.57,34.08,"70,890"
2018,KY,Kentucky,15-1121,Computer Systems Analysts,"4,310",0.56,34.38,"71,500"
2018,KY,Kentucky,15-1122,Information Security Analysts,800,0.56,40.33,"83,890"
2018,KY,Kentucky,15-1131,Computer Programmers,"1,270",0.42,34.71,"72,190"
2018,KY,Kentucky,15-1132,"Software Developers, Applications","5,700",0.48,41.49,"86,300"
2018,KY,Kentucky,15-1133,"Software Developers, Systems Software","2,300",0.44,40.53,"84,300"
2018,KY,Kentucky,15-1134,Web Developers,"1,130",0.68,34.43,"71,610"
2018,KY,Kentucky,15-1141,Database Administrators,960,0.67,37.65,"78,310"
2018,KY,Kentucky,15-1142,Network and Computer Systems Administrators,"3,190",0.67,30.92,"64,320"
2018,KY,Kentucky,15-1143,Computer Network Architects,"1,160",0.58,37.48,"77,950"
2018,KY,Kentucky,15-1151,Computer User Support Specialists,"6,180",0.75,23.42,"48,700"
2018,KY,Kentucky,15-1152,Computer Network Support Specialists,"1,510",0.64,27.83,"57,890"
2018,KY,Kentucky,15-1199,"Computer Occupations, All Other","2,500",0.50,38.19,"79,420"
2018,LA,Louisiana,15-0000,Computer and Mathematical Occupations,"20,480",0.35,32.14,"66,850"
2018,LA,Louisiana,15-1111,Computer and Information Research Scientists,80,0.19,43.18,"89,810"
2018,LA,Louisiana,15-1121,Computer Systems Analysts,"2,060",0.27,34.88,"72,560"
2018,LA,Louisiana,15-1122,Information Security Analysts,500,0.35,35.74,"74,350"
2018,LA,Louisiana,15-1131,Computer Programmers,"2,150",0.70,37.23,"77,450"
2018,LA,Louisiana,15-1132,"Software Developers, Applications","1,190",0.10,39.25,"81,640"
2018,LA,Louisiana,15-1133,"Software Developers, Systems Software","1,300",0.24,36.63,"76,200"
2018,LA,Louisiana,15-1134,Web Developers,500,0.29,26.59,"55,310"
2018,LA,Louisiana,15-1141,Database Administrators,460,0.32,43.47,"90,420"
2018,LA,Louisiana,15-1142,Network and Computer Systems Administrators,"2,540",0.53,32.87,"68,380"
2018,LA,Louisiana,15-1143,Computer Network Architects,380,0.19,38.25,"79,560"
2018,LA,Louisiana,15-1151,Computer User Support Specialists,"3,480",0.42,22.87,"47,570"
2018,LA,Louisiana,15-1152,Computer Network Support Specialists,"1,320",0.55,26.75,"55,650"
2018,LA,Louisiana,15-1199,"Computer Occupations, All Other","4,050",0.80,32.02,"66,600"
2018,ME,Maine,15-0000,Computer and Mathematical Occupations,"12,270",0.67,37.23,"77,440"
2018,ME,Maine,15-1121,Computer Systems Analysts,"1,950",0.79,39.26,"81,670"
2018,ME,Maine,15-1122,Information Security Analysts,230,0.50,39.55,"82,270"
2018,ME,Maine,15-1131,Computer Programmers,780,0.81,40.78,"84,830"
2018,ME,Maine,15-1132,"Software Developers, Applications","2,270",0.60,43.36,"90,190"
2018,ME,Maine,15-1133,"Software Developers, Systems Software",380,0.22,47.40,"98,580"
2018,ME,Maine,15-1134,Web Developers,420,0.79,28.99,"60,290"
2018,ME,Maine,15-1141,Database Administrators,250,0.54,36.80,"76,540"
2018,ME,Maine,15-1142,Network and Computer Systems Administrators,"1,130",0.74,36.91,"76,780"
2018,ME,Maine,15-1143,Computer Network Architects,620,0.97,47.06,"97,890"
2018,ME,Maine,15-1151,Computer User Support Specialists,"2,060",0.78,24.96,"51,930"
2018,ME,Maine,15-1152,Computer Network Support Specialists,720,0.94,30.68,"63,800"
2018,ME,Maine,15-1199,"Computer Occupations, All Other",890,0.56,38.36,"79,790"
2018,MD,Maryland,15-0000,Computer and Mathematical Occupations,"128,230",1.58,48.35,"100,560"
2018,MD,Maryland,15-1111,Computer and Information Research Scientists,"2,900",5.20,57.30,"119,180"
2018,MD,Maryland,15-1121,Computer Systems Analysts,"18,340",1.68,46.98,"97,720"
2018,MD,Maryland,15-1122,Information Security Analysts,"4,990",2.49,51.90,"107,960"
2018,MD,Maryland,15-1131,Computer Programmers,"4,790",1.12,44.71,"93,000"
2018,MD,Maryland,15-1132,"Software Developers, Applications","12,780",0.76,52.33,"108,850"
2018,MD,Maryland,15-1133,"Software Developers, Systems Software","15,430",2.05,57.63,"119,860"
2018,MD,Maryland,15-1134,Web Developers,"3,110",1.32,37.51,"78,030"
2018,MD,Maryland,15-1141,Database Administrators,"3,740",1.83,40.98,"85,240"
2018,MD,Maryland,15-1142,Network and Computer Systems Administrators,"16,220",2.39,52.01,"108,190"
2018,MD,Maryland,15-1143,Computer Network Architects,"5,340",1.88,58.52,"121,720"
2018,MD,Maryland,15-1151,Computer User Support Specialists,"10,620",0.91,26.38,"54,880"
2018,MD,Maryland,15-1152,Computer Network Support Specialists,"8,130",2.42,35.27,"73,360"
2018,MD,Maryland,15-1199,"Computer Occupations, All Other","13,720",1.94,54.49,"113,330"
2018,MA,Massachusetts,15-0000,Computer and Mathematical Occupations,"141,450",1.31,47.42,"98,630"
2018,MA,Massachusetts,15-1111,Computer and Information Research Scientists,720,0.97,56.21,"116,920"
2018,MA,Massachusetts,15-1121,Computer Systems Analysts,"14,790",1.02,45.44,"94,510"
2018,MA,Massachusetts,15-1122,Information Security Analysts,"3,260",1.22,52.11,"108,400"
2018,MA,Massachusetts,15-1131,Computer Programmers,"4,420",0.78,45.85,"95,380"
2018,MA,Massachusetts,15-1132,"Software Developers, Applications","29,110",1.31,52.47,"109,130"
2018,MA,Massachusetts,15-1133,"Software Developers, Systems Software","25,540",2.55,56.62,"117,760"
2018,MA,Massachusetts,15-1134,Web Developers,"4,220",1.34,40.53,"84,300"
2018,MA,Massachusetts,15-1141,Database Administrators,"2,900",1.07,47.41,"98,620"
2018,MA,Massachusetts,15-1142,Network and Computer Systems Administrators,"8,880",0.98,43.98,"91,470"
2018,MA,Massachusetts,15-1143,Computer Network Architects,"6,000",1.59,58.51,"121,700"
2018,MA,Massachusetts,15-1151,Computer User Support Specialists,"19,360",1.24,30.70,"63,860"
2018,MA,Massachusetts,15-1152,Computer Network Support Specialists,"3,600",0.80,40.49,"84,230"
2018,MA,Massachusetts,15-1199,"Computer Occupations, All Other","11,190",1.19,44.28,"92,110"
2018,MI,Michigan,15-0000,Computer and Mathematical Occupations,"112,890",0.86,38.11,"79,280"
2018,MI,Michigan,15-1111,Computer and Information Research Scientists,140,0.16,49.69,"103,350"
2018,MI,Michigan,15-1121,Computer Systems Analysts,"15,420",0.88,40.34,"83,900"
2018,MI,Michigan,15-1122,Information Security Analysts,"1,460",0.45,45.12,"93,850"
2018,MI,Michigan,15-1131,Computer Programmers,"3,960",0.58,36.76,"76,450"
2018,MI,Michigan,15-1132,"Software Developers, Applications","29,540",1.10,44.36,"92,260"
2018,MI,Michigan,15-1133,"Software Developers, Systems Software","10,320",0.85,42.58,"88,560"
